number,diameter,height,double height,weight
203023,257.4,33.3,66.6,4.8
203024,262.0,60.2,120.4,4.08
203025,256.0,45.2,90.4,4.81
203026,258.1,33.8,67.6,5.1
203027,260.0,41.0,82.0,3.41
203028,275.7,45.0,90.0,6.84
203029,254.0,40.0,80.0,4.82
203030,275.5,45.1,90.2,5.65
203031,235.2,40.8,81.6,2.65
203032,276.0,45.2,90.4,6.02
203033,289.8,46.2,92.4,6.1
203034,276.0,45.0,90.0,6.0
203035,256.0,45.6,91.2,5.12
203036,249.9,38.4,76.8,3.11
203037,265.0,49.5,99.0,3.91
203038,256.2,45.1,90.2,4.45
203039,256.0,45.0,90.0,4.17
203040,283.8,60.0,120.0,6.01
203041,299.8,72.3,144.6,6.43
203042,262.0,60.1,120.2,4.08
203043,294.0,45.6,91.2,6.58
203044,314.0,45.2,90.4,6.86
203045,260.0,41.2,82.4,3.55
203046,290.0,45.7,91.4,7.0
203047,302.0,60.3,120.6,5.66
203048,285.0,38.6,77.2,5.76
203049,261.8,60.3,120.6,4.03
203051,254.0,39.0,78.0,4.81
203052,275.9,45.5,91.0,6.0
203053,302.0,58.6,117.2,5.51
203054,289.8,46.2,92.4,7.15
203055,332.0,56.2,112.4,9.34
203056,330.9,74.4,148.8,7.75
203057,276.0,45.6,91.2,5.72
203058,262.0,60.2,120.4,4.13
203059,294.0,46.3,92.6,7.08
203060,275.9,45.7,91.4,5.86
203081,330.0,58.3,116.6,8.5
203082,294.0,45.6,91.2,6.877
203083,302.0,60.1,120.2,5.336
203085,302.0,36.2,72.4,4.65
203086,280.8,46.6,93.2,6.657
203087,251.0,41.8,83.6,4.23
203201,243.0,49.0,98.0,3.4
203204,230.0,33.5,67.0,2.99
203206,229.2,95.5,191.0,5.23
203208,227.0,31.0,62.0,3.2
203210,229.0,34.5,69.0,3.7
203211,250.0,34.5,69.0,4.51
203216,237.8,31.0,62.0,4.1
203217,228.6,34.5,69.0,3.53
203218,250.0,34.5,69.0,4.6
203219,242.0,37.7,75.4,4.05
203220,263.6,46.5,93.0,5.32
203222,256.0,20.0,40.0,4.35
203223,234.5,45.0,90.0,3.59
203224,268.0,20.0,40.0,4.58
203225,234.7,45.0,90.0,3.35
203226,271.6,24.7,49.4,5.7
203227,257.8,48.5,97.0,5.2
203228,261.0,40.0,80.0,3.63
203229,259.0,73.2,146.4,5.9
203230,257.0,45.0,90.0,5.36
203231,250.5,34.5,69.0,3.07
203232,235.0,45.1,90.2,4.4
203233,259.0,72.0,144.0,5.395
203234,234.6,46.2,92.4,4.4
203235,257.6,47.0,94.0,5.55
203236,219.0,37.1,74.2,3.0
203237,254.6,44.9,89.8,4.38
203238,260.0,31.0,62.0,0.0
203239,231.0,34.5,69.0,2.65
203241,273.6,47.4,94.8,6.51
203242,285.6,56.5,113.0,5.43
203243,275.7,58.0,116.0,8.15
203245,282.8,48.5,97.0,7.7
203246,279.7,40.0,80.0,4.0
203247,295.7,51.0,102.0,8.28
203248,261.0,40.0,80.0,3.65
203250,264.8,40.8,81.6,4.02
203251,277.9,48.5,97.0,7.06
203252,279.9,40.9,81.8,4.36
203253,299.9,48.5,97.0,8.12
203254,273.9,51.1,102.2,7.09
203255,255.7,24.0,48.0,5.0
203256,273.7,24.0,48.0,5.75
203257,250.8,34.5,69.0,2.93
203258,273.6,45.0,90.0,5.74
203261,301.8,40.8,81.6,4.88
203263,278.1,47.0,94.0,6.593
203265,313.5,40.9,81.8,5.28
203266,319.7,45.9,91.8,9.41
203267,257.9,44.0,88.0,5.71
203268,298.6,48.4,96.8,8.38
203269,279.7,40.4,80.8,4.0
203270,289.6,45.1,90.2,6.0
203271,288.7,70.3,140.6,8.85
203272,320.0,48.4,96.8,9.58
203273,324.6,56.2,112.4,7.897
203274,319.8,48.5,97.0,9.9
203275,295.7,48.3,96.6,8.397
203276,301.8,56.7,113.4,6.666
